product_name,product_price,Review,Summary,Sentiment
Samsung Galaxy M34 5G,18999,"The camera quality is absolutely stunning. I took some landscape photos and the details were crystal clear. Battery life is also exceptional, easily lasting 2 days with moderate usage. Performance is smooth for gaming too.","Best budget phone",positive
Samsung Galaxy M34 5G,18999,"This phone heats up like a furnace while charging and gaming. The performance lags when multiple apps are open. I expected better for this price. The display is the only saving grace, very bright and vivid.","Disappointed with heating",negative
OnePlus Nord CE 3,24999,"Decent phone overall. Camera is average in low light but works fine during daytime. Battery is good, charges quickly. Build quality feels solid. Nothing exceptional but nothing terrible either.","Average but reliable",neutral
boAt Rockerz 450 Pro,1999,"Absolutely love these headphones! Sound quality is rich and bass is punchy without being overwhelming. Comfort level is great for long sessions. The 70-hour battery life is a game changer.","Amazing headphones",positive
boAt Rockerz 450 Pro,1999,"The left ear cup started making a crackling sound after just 2 weeks. Bluetooth connectivity drops frequently. For the price I expected much better durability. Very disappointed.","Poor build quality",negative
Lenovo IdeaPad Slim 3,45999,"Great laptop for students. Performance is smooth for coding and document work. The display is crisp and colors are accurate. Fan noise is minimal. Battery lasts about 6 hours which is acceptable.","Good value laptop",positive
Lenovo IdeaPad Slim 3,45999,"Keyboard flex is noticeable which is annoying. The trackpad sensitivity is off. However the processor speed is good and handles multitasking well. Delivery was fast and packaging was excellent.","Mixed experience",neutral
Xiaomi 13C,10999,"For a budget phone this is phenomenal. The display is bright, performance is snappy for daily use. Camera surprises you with its quality. Delivery was on time and well packaged. Highly recommend for first-time smartphone buyers.","Excellent budget phone",positive
Apple AirPods Pro 2,24900,"These are worth every penny. Noise cancellation is best in class. Sound quality is transparent and detailed. Battery life with case gives over 30 hours. Fit is comfortable even for long hours of use.","Premium quality",positive
Realme Narzo 60,15999,"Mixed feelings about this phone. Camera is decent but struggles in night mode. Display is good with 120Hz refresh rate which is smooth. Battery drains faster than expected, barely lasts a day with heavy use. Price seems high for what you get.","Average phone, overpriced",neutral
OnePlus Nord CE 3,24999,"Outstanding value for money. The Snapdragon processor handles everything smoothly. 5G connectivity is rock solid. Camera app has great features. Only downside is the plastic build but that is forgivable at this price point.","Solid mid-ranger",positive
Samsung Galaxy M34 5G,18999,"Camera consistently overexposes in bright lighting conditions. The software experience has too many bloatware apps pre-installed. Customer support was not helpful when I raised the issue. The phone randomly restarts sometimes.","Software and camera issues",negative
