date,product_name,units_sold,revenue,price,avg_sentiment_score,review_count
2024-01-01,Samsung Galaxy M34,45,157500,3500,3.8,12
2024-01-02,Samsung Galaxy M34,52,182000,3500,4.1,8
2024-01-03,Samsung Galaxy M34,38,133000,3500,3.2,5
2024-01-04,Samsung Galaxy M34,61,213500,3500,4.3,15
2024-01-05,Samsung Galaxy M34,78,273000,3500,4.5,20
2024-01-06,Samsung Galaxy M34,44,154000,3500,3.6,7
2024-01-07,Samsung Galaxy M34,55,192500,3500,3.9,11
2024-01-08,Samsung Galaxy M34,48,168000,3500,4.0,9
2024-01-09,Samsung Galaxy M34,63,220500,3500,4.2,14
2024-01-10,Samsung Galaxy M34,50,175000,3500,3.7,10
2024-01-11,Samsung Galaxy M34,72,252000,3500,4.4,18
2024-01-12,Samsung Galaxy M34,41,143500,3500,3.5,6
2024-01-13,Samsung Galaxy M34,56,196000,3500,3.8,12
2024-01-14,Samsung Galaxy M34,65,227500,3500,4.1,13
2024-01-15,Samsung Galaxy M34,80,280000,3500,4.6,22
2024-01-16,Samsung Galaxy M34,47,164500,3500,3.9,9
2024-01-17,Samsung Galaxy M34,53,185500,3500,4.0,11
2024-01-18,Samsung Galaxy M34,69,241500,3500,4.3,16
2024-01-19,Samsung Galaxy M34,77,269500,3500,4.5,19
2024-01-20,Samsung Galaxy M34,42,147000,3500,3.6,7
2024-01-21,Samsung Galaxy M34,60,210000,3500,4.0,13
2024-01-22,Samsung Galaxy M34,85,297500,3500,4.7,25
2024-01-23,Samsung Galaxy M34,51,178500,3500,3.8,10
2024-01-24,Samsung Galaxy M34,58,203000,3500,3.9,12
2024-01-25,Samsung Galaxy M34,73,255500,3500,4.2,15
2024-01-26,Samsung Galaxy M34,68,238000,3500,4.1,14
2024-01-27,Samsung Galaxy M34,82,287000,3500,4.5,21
2024-01-28,Samsung Galaxy M34,45,157500,3500,3.7,8
2024-01-29,Samsung Galaxy M34,59,206500,3500,4.0,12
2024-01-30,Samsung Galaxy M34,76,266000,3500,4.4,17
2024-01-31,Samsung Galaxy M34,43,150500,3500,3.5,7
