date,product_name,units_sold,revenue,price
2024-01-01,Samsung Galaxy M34,45,157500,3500
2024-01-02,Samsung Galaxy M34,52,182000,3500
2024-01-03,Samsung Galaxy M34,38,133000,3500
2024-01-04,Samsung Galaxy M34,61,213500,3500
2024-01-05,Samsung Galaxy M34,78,273000,3500
2024-01-06,Samsung Galaxy M34,44,154000,3500
2024-01-07,Samsung Galaxy M34,55,192500,3500
2024-01-08,Bosch Washing Machine 7kg,12,90000,7500
2024-01-09,Bosch Washing Machine 7kg,8,60000,7500
2024-01-10,Bosch Washing Machine 7kg,15,112500,7500
2024-01-11,Bosch Washing Machine 7kg,10,75000,7500
2024-01-12,Bosch Washing Machine 7kg,18,135000,7500
2024-01-13,Bosch Washing Machine 7kg,7,52500,7500
2024-01-14,Bosch Washing Machine 7kg,14,105000,7500
2024-01-01,Samsung Galaxy M34,48,168000,3500
2024-01-15,Samsung Galaxy M34,63,220500,3500
2024-01-16,Samsung Galaxy M34,50,175000,3500
2024-01-17,Samsung Galaxy M34,72,252000,3500
2024-01-18,Samsung Galaxy M34,41,143500,3500
2024-01-19,Samsung Galaxy M34,56,196000,3500
2024-01-20,Samsung Galaxy M34,65,227500,3500
2024-01-21,Samsung Galaxy M34,80,280000,3500
2024-01-22,Samsung Galaxy M34,47,164500,3500
2024-01-23,Samsung Galaxy M34,53,185500,3500
2024-01-24,Samsung Galaxy M34,69,241500,3500
2024-01-25,Samsung Galaxy M34,77,269500,3500
2024-01-26,Samsung Galaxy M34,42,147000,3500
2024-01-27,Samsung Galaxy M34,60,210000,3500
2024-01-28,Samsung Galaxy M34,85,297500,3500
2024-01-29,Samsung Galaxy M34,51,178500,3500
2024-01-30,Samsung Galaxy M34,58,203000,3500
2024-01-31,Samsung Galaxy M34,73,255500,3500
2024-02-01,Samsung Galaxy M34,68,238000,3500
2024-02-02,Samsung Galaxy M34,82,287000,3500
2024-02-03,Samsung Galaxy M34,45,157500,3500
2024-02-04,Samsung Galaxy M34,59,206500,3500
2024-02-05,Samsung Galaxy M34,76,266000,3500
2024-02-06,Samsung Galaxy M34,43,150500,3500
2024-02-07,Samsung Galaxy M34,66,231000,3500
2024-02-08,Samsung Galaxy M34,74,259000,3500
2024-02-09,Samsung Galaxy M34,55,192500,3500
2024-02-10,Samsung Galaxy M34,49,171500,3500
2024-02-11,Samsung Galaxy M34,62,217000,3500
2024-02-12,Samsung Galaxy M34,88,308000,3500
2024-02-13,Samsung Galaxy M34,53,185500,3500
2024-02-14,Samsung Galaxy M34,95,332500,3500
2024-02-15,Samsung Galaxy M34,71,248500,3500
