product_name,product_price,Review,review_date,Summary,Sentiment
Samsung Galaxy M34,16999,"Excellent battery life and great camera performance.",2024-01-01,Excellent battery,positive
Samsung Galaxy M34,16999,"Screen quality is superb for the price point.",2024-01-02,Great screen,positive
Samsung Galaxy M34,16999,"Heating issues during gaming sessions.",2024-01-03,Heating problem,negative
Samsung Galaxy M34,16999,"Very good value for money smartphone.",2024-01-04,Good value,positive
Samsung Galaxy M34,16999,"Camera disappoints in low light conditions.",2024-01-05,Poor night camera,negative
Samsung Galaxy M34,16999,"Long lasting battery is the highlight.",2024-01-06,Amazing battery,positive
Samsung Galaxy M34,16999,"Performance is smooth for daily tasks.",2024-01-07,Smooth performance,positive
Samsung Galaxy M34,16999,"Build quality feels premium despite plastic.",2024-01-08,Good build,positive
Realme Narzo 60 5G,17999,"Blazing fast 5G connectivity and great performance.",2024-01-01,Fast 5G,positive
Realme Narzo 60 5G,17999,"Battery drains quickly with 5G enabled.",2024-01-02,Battery drain,negative
Realme Narzo 60 5G,17999,"Display quality is outstanding for the price.",2024-01-03,Great display,positive
Realme Narzo 60 5G,17999,"UI is a bit bloated with ads.",2024-01-04,Bloatware issue,negative
Realme Narzo 60 5G,17999,"Camera system produces great photos.",2024-01-05,Good camera,positive
Realme Narzo 60 5G,17999,"Smooth gaming experience with 5G.",2024-01-06,Gaming great,positive
Realme Narzo 60 5G,17999,"Good value proposition in the midrange.",2024-01-07,Good value,positive
Realme Narzo 60 5G,17999,"Speaker quality could be better.",2024-01-08,Weak speakers,negative
Laptop Air 14,45999,"Incredibly light and portable design.",2024-01-01,Lightweight,positive
Laptop Air 14,45999,"Battery life lasts all day easily.",2024-01-02,All-day battery,positive
Laptop Air 14,45999,"Display is bright and color-accurate.",2024-01-03,Good display,positive
Laptop Air 14,45999,"Performance drops under heavy workloads.",2024-01-04,Performance issues,negative
Laptop Air 14,45999,"Keyboard feel is excellent for typing.",2024-01-05,Great keyboard,positive
Laptop Air 14,45999,"Fan noise is too loud during rendering.",2024-01-06,Loud fan,negative
Laptop Air 14,45999,"Excellent build quality, feels premium.",2024-01-07,Premium build,positive
Laptop Air 14,45999,"Great for remote work and presentations.",2024-01-08,Work laptop,positive
OnePlus Nord 3,24999,"Fastest charging in its class bar none.",2024-01-01,Superfast charging,positive
OnePlus Nord 3,24999,"Great AMOLED display with high refresh rate.",2024-01-02,Vibrant display,positive
OnePlus Nord 3,24999,"Camera needs improvement in portrait mode.",2024-01-03,Portrait issues,negative
OnePlus Nord 3,24999,"OxygenOS is clean and smooth to use.",2024-01-04,Clean OS,positive
OnePlus Nord 3,24999,"Gets warm after prolonged gaming sessions.",2024-01-05,Heating during gaming,negative
OnePlus Nord 3,24999,"Excellent overall package for the price.",2024-01-06,Great value,positive
